general_section_id,rule,applies_to_section_id,note
1,บทนิยาม,,นิยามเชื่อมเฉพาะมาตราที่ใช้ถ้อยคำนั้น (selective) — คัดเลือกด้วยมือ
2,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
3,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
4,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
5,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
6,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
7,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
8,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
9,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
10,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
11,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
12,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
13,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
